limiar,n,falhas,average_precision,roc_auc,precisao,recall,f2,acuracia,tn,fp,fn,tp,alertas,custo_relativo
0.87,2000,68,0.5479966235,0.9646510778,0.8,0.05882352941,0.07220216606,0.9675,1931,1,64,4,5,641
0.88,2000,68,0.5479966235,0.9646510778,1,0.02941176471,0.03649635036,0.967,1932,0,66,2,2,660
0.89,2000,68,0.5479966235,0.9646510778,1,0.01470588235,0.01831501832,0.9665,1932,0,67,1,1,670
0.9,2000,68,0.5479966235,0.9646510778,1,0.01470588235,0.01831501832,0.9665,1932,0,67,1,1,670
0.91,2000,68,0.5479966235,0.9646510778,1,0.01470588235,0.01831501832,0.9665,1932,0,67,1,1,670
0.92,2000,68,0.5479966235,0.9646510778,1,0.01470588235,0.01831501832,0.9665,1932,0,67,1,1,670
0.93,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
0.94,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
0.95,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
0.96,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
0.97,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
0.98,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
0.99,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
1.000001,2000,68,0.5479966235,0.9646510778,0,0,0,0.966,1932,0,68,0,0,680
